Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,
--------------------------------------------------------------------------,,,,
,,,,
,,,,
Ref Name,Component,Value,Package,MPN
RESOLVER,7 pin connector,,USER,22-04-1071
,7pin female housing,,,22-01-1072
,6pin connector,,,22-04-1061
,6pin female housing,,,22-01-1062
,crimp pins 13 of these!!,,,08-50-0114
U1,7805Replacement,,D2PAK,MC7812ABD2TG
C9,Capacitor0.2-MLCC,0.1uF,1206Standard,C1206C104K5RACTU
C3,Capacitor0.2-MLCC,0.1uF,1206Standard,C1206C104K5RACTU
C1,Capacitor0.2-MLCC,0.1uF,1206Standard,C1206C104K5RACTU
C2,Capacitor0.2-MLCC,0.1uF,1206Standard,C1206C104K5RACTU
C4,Capacitor0.2-MLCC,0.1uF,1206Standard,C1206C104K5RACTU
C15,Capacitor0.2-MLCC,0.01uF,1206Standard,12065C103KAT4A
C14,Capacitor0.2-MLCC,0.01uF,1206Standard,12065C103KAT4A
C18,Capacitor0.2-MLCC,0.01uF,1206Standard,12065C103KAT4A
C22,Capacitor0.2-MLCC,0.01uF,1206Standard,12065C103KAT4A
C11,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C19,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C17,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C23,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C13,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C25,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C10,Capacitor0.2-MLCC,4.7uF,1206Standard,CGA5L3X7R1H475K160AB
C20,Capacitor0.2-MLCC,30pF,1206Standard,C1206C300J5GACTU
C21,Capacitor0.2-MLCC,30pF,1206Standard,C1206C300J5GACTU
C12,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C16,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C26,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C8,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C24,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C7,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C6,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
C5,Capacitor0.2-MLCC,2200pF,1206Standard,VJ1206Y222MXXPW1BC
XTAL1,CRYSTAL-8MHz,8.192MHz,USER,XT9S20ANA8M
U2,DualOpAmp,,soicWithHeat,AD8397ARDZ-REEL7
J1,encoder,,USER,22-04-1061
L1,ferrite,,0805Standard,MMZ2012R102AT000
R1,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R6,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R8,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R9,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R11,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R10,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R2,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R5,Resistor-0.25watt,1k,1206Standard,RK73H2BTTE1001F
R4,Resistor-0.25watt,2.2k,1206Standard,RK73H2BTTD2201F
R3,Resistor-0.25watt,2.2k,1206Standard,RK73H2BTTD2201F
R7,Resistor-0.25watt,4.7k,1206Standard,RC1206FR-074K7L
U3,ResolverToEncoder-AD2S1210,,TQFP-48,AD2S1210ASTZ
